2016-11-02 16:05:49 DEBUG  [org.apache.http.impl.conn.DefaultManagedHttpClientConnection] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 79: http-outgoing-2: Close connection
2016-11-02 16:05:49 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 287: Connection released: [id: 2][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:52 DEBUG  [org.apache.http.client.protocol.RequestAddCookies] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 122: CookieSpec selected: best-match
2016-11-02 16:05:52 DEBUG  [org.apache.http.client.protocol.RequestAuthCache] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 75: Auth cache not set in the context
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 219: Connection request: [route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 250: Connection leased: [id: 3][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 217: Opening connection {}->http://localhost:28799
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 122: Connecting to localhost/127.0.0.1:28799
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 129: Connection established 127.0.0.1:6436<->127.0.0.1:28799
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 238: Executing request DELETE /session/e5068542330421e2145c94287a5b4b40 HTTP/1.1
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 243: Target auth state: UNCHALLENGED
2016-11-02 16:05:52 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 249: Proxy auth state: UNCHALLENGED
2016-11-02 16:05:52 DEBUG  [org.apache.http.headers] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 124: http-outgoing-3 >> DELETE /session/e5068542330421e2145c94287a5b4b40 HTTP/1.1
2016-11-02 16:05:52 DEBUG  [org.apache.http.headers] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-3 >> Host: localhost:28799
2016-11-02 16:05:52 DEBUG  [org.apache.http.headers] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-3 >> Connection: Keep-Alive
2016-11-02 16:05:52 DEBUG  [org.apache.http.headers] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-3 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2016-11-02 16:05:52 DEBUG  [org.apache.http.headers] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-3 >> Accept-Encoding: gzip,deflate
2016-11-02 16:05:52 DEBUG  [org.apache.http.wire] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-3 >> "DELETE /session/e5068542330421e2145c94287a5b4b40 HTTP/1.1[\r][\n]"
2016-11-02 16:05:52 DEBUG  [org.apache.http.wire] [Forwarding quit on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-3 >> "Host: localhost:28799[\r][\n]"
